YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2012,MISSOURI,YEAR,HAY,"ALL PRODUCTION PRACTICES","3,660,000","5,254,000",1.44,"534,026,000"
2012,MISSOURI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","3,400,000","4,760,000",1.4,"430,780,000"
2012,MISSOURI,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","260,000","494,000",1.9,"103,246,000"
2012,MONTANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,200,000","4,120,000",1.87,"551,040,000"
2012,MONTANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,500,000","3,000,000",2,"420,000,000"
2012,MONTANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","700,000","1,120,000",1.6,"131,040,000"
2012,NEBRASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,570,000","4,072,000",1.58,"750,336,000"
2012,NEBRASKA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,800,000","1,800,000",1,"266,400,000"
2012,NEBRASKA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","770,000","2,272,000",2.95,"483,936,000"
2012,NEVADA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","240,000","1,056,000",4.4,"217,536,000"
2012,NEVADA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","175,000","280,000",1.6,"49,560,000"
2012,NEVADA,YEAR,HAY,"ALL PRODUCTION PRACTICES","415,000","1,336,000",3.22,"267,096,000"
2012,"NEW HAMPSHIRE",YEAR,HAY,"ALL PRODUCTION PRACTICES","52,000","99,000",1.9,"20,963,000"
2012,"NEW HAMPSHIRE",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","47,000","89,000",1.9,"18,423,000"
