YEAR,name,REFERENCE PERIOD,COMMODITY,PRODN PRACTICE,AREA HARVESTED in ACRES,tons-produced,dollars,price-per-ton,yield-tons-per-acre
1996,Indiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"725,000",2020000,261800000,129,2.79
1996,Iowa,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,650,000",5310000,538335000,101,3.22
1996,Kansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,500,000",7010000,543695000,77,2.8
1996,Kentucky,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,400,000",5700000,442350000,77,2.38
1996,Louisiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"310,000",837000,46035000,55,2.7
1996,Maine,YEAR,HAY,ALL PRODUCTION PRACTICES,"185,000",336000,29310000,87,1.82
1996,Maryland,YEAR,HAY,ALL PRODUCTION PRACTICES,"220,000",698000,83104000,119,3.17
1996,Massachusetts,YEAR,HAY,ALL PRODUCTION PRACTICES,"90,000",180000,21180000,117,2
1996,Michigan,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,300,000",4190000,442895000,105,3.22
1996,Minnesota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,225,000",5998000,526646000,87,2.7
1996,Mississippi,YEAR,HAY,ALL PRODUCTION PRACTICES,"800,000",2000000,108000000,54,2.5
1996,Missouri,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,880,000",7270000,505195000,69,1.87
1996,Montana,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,600,000",4920000,379620000,77,1.89
1996,Nebraska,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,150,000",7455000,470033000,63,2.37
1996,Nevada,YEAR,HAY,ALL PRODUCTION PRACTICES,"480,000",1516000,146421000,96,3.16
1996,New Hampshire,YEAR,HAY,ALL PRODUCTION PRACTICES,"67,000",117000,13399000,114,1.75
1996,New Jersey,YEAR,HAY,ALL PRODUCTION PRACTICES,"120,000",269000,31873000,118,2.24
1996,New Mexico,YEAR,HAY,ALL PRODUCTION PRACTICES,"350,000",1475000,184175000,124,4.21
1996,New York,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,510,000",3468000,301566000,86,2.3
1996,North Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"645,000",1365000,112287000,82,2.12
1996,North Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,900,000",4825000,240068000,49,1.66
1996,Ohio,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,200,000",3400000,455750000,134,2.83
1996,Oklahoma,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,660,000",4940000,371220000,75,1.86
